Region,Month of Period End,Measure Names,Measure Values
"Philadelphia, PA metro area",September 2022,Average Sale To List YoY ,-0.011831829
"Philadelphia, PA metro area",August 2022,Average Sale To List YoY ,-0.009419391
"Philadelphia, PA metro area",July 2022,Average Sale To List YoY ,-0.005957232
"Philadelphia, PA metro area",June 2022,Average Sale To List YoY ,0.001462702
"Philadelphia, PA metro area",May 2022,Average Sale To List YoY ,0.005101389
"Philadelphia, PA metro area",April 2022,Average Sale To List YoY ,0.005918959
"Philadelphia, PA metro area",March 2022,Average Sale To List YoY ,0.004524708
"Philadelphia, PA metro area",February 2022,Average Sale To List YoY ,0.004687175
"Philadelphia, PA metro area",January 2022,Average Sale To List YoY ,0.003284640
"Philadelphia, PA metro area",December 2021,Average Sale To List YoY ,0.004945992
"Philadelphia, PA metro area",November 2021,Average Sale To List YoY ,0.002357219
"Philadelphia, PA metro area",October 2021,Average Sale To List YoY ,0.003549220
"Philadelphia, PA metro area",September 2021,Average Sale To List YoY ,0.010639191
"Philadelphia, PA metro area",August 2021,Average Sale To List YoY ,0.013701408
"Philadelphia, PA metro area",July 2021,Average Sale To List YoY ,0.022292846
"Philadelphia, PA metro area",June 2021,Average Sale To List YoY ,0.026663108
"Philadelphia, PA metro area",May 2021,Average Sale To List YoY ,0.029534370
"Philadelphia, PA metro area",April 2021,Average Sale To List YoY ,0.013255224
"Philadelphia, PA metro area",March 2021,Average Sale To List YoY ,0.015803647
"Philadelphia, PA metro area",February 2021,Average Sale To List YoY ,0.014379157
"Philadelphia, PA metro area",January 2021,Average Sale To List YoY ,0.014639546
"Philadelphia, PA metro area",December 2020,Average Sale To List YoY ,0.019268695
"Philadelphia, PA metro area",November 2020,Average Sale To List YoY ,0.018125136
"Philadelphia, PA metro area",October 2020,Average Sale To List YoY ,0.014080031
"Philadelphia, PA metro area",September 2020,Average Sale To List YoY ,0.013618466
"Philadelphia, PA metro area",August 2020,Average Sale To List YoY ,0.013591637
"Philadelphia, PA metro area",July 2020,Average Sale To List YoY ,0.005859700
"Philadelphia, PA metro area",June 2020,Average Sale To List YoY ,-0.003756229
"Philadelphia, PA metro area",May 2020,Average Sale To List YoY ,-0.005179869
"Philadelphia, PA metro area",April 2020,Average Sale To List YoY ,0.004369918
"Philadelphia, PA metro area",March 2020,Average Sale To List YoY ,0.003829590
"Philadelphia, PA metro area",February 2020,Average Sale To List YoY ,0.003264705
"Philadelphia, PA metro area",September 2022,Average Sale To List MoM ,-0.003534121
"Philadelphia, PA metro area",August 2022,Average Sale To List MoM ,-0.005446451
"Philadelphia, PA metro area",July 2022,Average Sale To List MoM ,-0.003971701
"Philadelphia, PA metro area",June 2022,Average Sale To List MoM ,-0.003433611
"Philadelphia, PA metro area",May 2022,Average Sale To List MoM ,0.002055611
"Philadelphia, PA metro area",April 2022,Average Sale To List MoM ,0.000496414
"Philadelphia, PA metro area",March 2022,Average Sale To List MoM ,0.002326884
"Philadelphia, PA metro area",February 2022,Average Sale To List MoM ,0.002096123
"Philadelphia, PA metro area",January 2022,Average Sale To List MoM ,-0.002383991
